"MERCHANT SETTLEMENT REPORT: GAI-JV0001-20190225141823","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Settlement Date:","Saturday, 23 Feb 2019, Sunday, 24 Feb 2019, Monday, 18 Feb 2019","","","","","","","","","","","","","","",""
"Report Date:","Monday, 25 Feb 2019","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","TRANSACTION DATE","TRANSACTION REFERENCE NUMBER","MODE OF PAYMENT","TOTAL AMOUNT","AMOUNT DUE TO MERCHANT","MDR FEE","UP-FRONT FEE","IPG FEE","TAX","GAI-JV0001 PROFIT","DCI-JV0001 PROFIT","3RD PARTY FEE","MERCHANT ID","MERCHANT NAME","STATUS"
"","","2019-02-18 19:29:04","FP-20190219-102339-143","VISA","86,300.00 ","84,558.70 ","1,726.30 ","","15.00 "," - ","10.50 ","4.50 ","1,726.30 ","GAI0001","GREAT AUTOMATION INCORPORATED","COMPLETED PAID"
"","","2019-02-18 04:57:29","FP-20190218-194318-142","VISA","86,300.00 ","84,558.70 ","1,726.30 ","","15.00 "," - ","10.50 ","4.50 ","1,726.30 ","GAI0001","GREAT AUTOMATION INCORPORATED","COMPLETED PAID"
"","","2019-02-18 01:33:57","FP-20190218-162415-141","VISA","350.00 ","327.70 ","7.30 ","","15.00 "," - ","10.50 ","4.50 ","7.30 ","GAI0001","GREAT AUTOMATION INCORPORATED","COMPLETED PAID"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","TOTAL COUNT","3","","","","","","","","","","","","","",""
"","TOTAL COUNT DUE TO MERCHANT","169,445.10 ","","","","","","","","","","","","","",""
"","TOTAL MDR","3,459.90 ","","","","","","","","","","","","","",""
"","TOTAL CONVENIENCE FEE","45.00 ","","","","","","","","","","","","","",""
"","TOTAL TAX","0.00 ","","","","","","","","","","","","","",""
"","TOTAL GAI-JV0001 PROFIT","31.50 ","","","","","","","","","","","","","",""
"","TOTAL DCI-JV0001 PROFIT","13.50 ","","","","","","","","","","","","","",""
"","TOTAL 3RD PARTY FEE","3,459.90 ","","","","","","","","","","","","","",""
