"MERCHANT SETTLEMENT REPORT: GAI-JV0001-20190305105152","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Settlement Date:","Saturday, 02 Mar 2019, Sunday, 03 Mar 2019, Monday, 04 Mar 2019","","","","","","","","","","","","","","",""
"Report Date:","Tuesday, 05 Mar 2019","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","TRANSACTION DATE","TRANSACTION REFERENCE NUMBER","MODE OF PAYMENT","TOTAL AMOUNT","AMOUNT DUE TO MERCHANT","MDR FEE","UP-FRONT FEE","IPG FEE","TAX","GAI-JV0001 PROFIT","DCI-JV0001 PROFIT","3RD PARTY FEE","MERCHANT ID","MERCHANT NAME","STATUS"
"","","2019-03-04 08:31:51","FP-20190304-082359-208","VISA","1,620.00 ","1,572.30 ","32.70 ","","15.00 "," - ","10.50 ","4.50 ","32.70 ","GAI0001","GREAT AUTOMATION INCORPORATED","COMPLETED PAID"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","TOTAL COUNT","1","","","","","","","","","","","","","",""
"","TOTAL COUNT DUE TO MERCHANT","1,572.30 ","","","","","","","","","","","","","",""
"","TOTAL MDR","32.70 ","","","","","","","","","","","","","",""
"","TOTAL CONVENIENCE FEE","15.00 ","","","","","","","","","","","","","",""
"","TOTAL TAX","0.00 ","","","","","","","","","","","","","",""
"","TOTAL GAI-JV0001 PROFIT","10.50 ","","","","","","","","","","","","","",""
"","TOTAL DCI-JV0001 PROFIT","4.50 ","","","","","","","","","","","","","",""
"","TOTAL 3RD PARTY FEE","32.70 ","","","","","","","","","","","","","",""
