"MERCHANT SETTLEMENT REPORT: GAI-JV0001-20190306224524","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Settlement Date:","Tuesday, 05 Mar 2019","","","","","","","","","","","","","","",""
"Report Date:","Wednesday, 06 Mar 2019","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","TRANSACTION DATE","TRANSACTION REFERENCE NUMBER","MODE OF PAYMENT","TOTAL AMOUNT","AMOUNT DUE TO MERCHANT","MDR FEE","UP-FRONT FEE","IPG FEE","TAX","GAI-JV0001 PROFIT","DCI-JV0001 PROFIT","3RD PARTY FEE","MERCHANT ID","MERCHANT NAME","STATUS"
"","","2019-03-05 11:12:36","FP-20190305-111017-212","VISA","1,620.00 ","1,572.30 ","32.70 ","","15.00 "," - ","10.50 ","4.50 ","32.70 ","GAI0001","GREAT AUTOMATION INCORPORATED","COMPLETED PAID"
"","","2019-03-05 07:04:36","FP-20190305-065857-210","VISA","1,620.00 ","1,572.30 ","32.70 ","","15.00 "," - ","10.50 ","4.50 ","32.70 ","GAI0001","GREAT AUTOMATION INCORPORATED","COMPLETED PAID"
"","","2019-03-05 01:13:53","FP-20190305-011226-209","VISA","70,007.77 ","68,592.31 ","1,400.46 ","","15.00 "," - ","10.50 ","4.50 ","1,400.46 ","GAI0001","GREAT AUTOMATION INCORPORATED","COMPLETED PAID"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","TOTAL COUNT","3","","","","","","","","","","","","","",""
"","TOTAL COUNT DUE TO MERCHANT","71,736.91 ","","","","","","","","","","","","","",""
"","TOTAL MDR","1,465.86 ","","","","","","","","","","","","","",""
"","TOTAL CONVENIENCE FEE","45.00 ","","","","","","","","","","","","","",""
"","TOTAL TAX","0.00 ","","","","","","","","","","","","","",""
"","TOTAL GAI-JV0001 PROFIT","31.50 ","","","","","","","","","","","","","",""
"","TOTAL DCI-JV0001 PROFIT","13.50 ","","","","","","","","","","","","","",""
"","TOTAL 3RD PARTY FEE","1,465.86 ","","","","","","","","","","","","","",""
