"MERCHANT SETTLEMENT REPORT: GAI-JV0001-20190307111117","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Settlement Date:","Wednesday, 06 Mar 2019","","","","","","","","","","","","","","",""
"Report Date:","Thursday, 07 Mar 2019","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","TRANSACTION DATE","TRANSACTION REFERENCE NUMBER","MODE OF PAYMENT","TOTAL AMOUNT","AMOUNT DUE TO MERCHANT","MDR FEE","UP-FRONT FEE","IPG FEE","TAX","GAI-JV0001 PROFIT","DCI-JV0001 PROFIT","3RD PARTY FEE","MERCHANT ID","MERCHANT NAME","STATUS"
"","","2019-03-06 22:21:36","FP-20190306-221826-214","VISA","71,423.23 ","70,007.77 ","1,400.46 ","","15.00 "," - ","10.50 ","4.50 ","1,400.46 ","GAI0001","GREAT AUTOMATION INCORPORATED","COMPLETED PAID"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","TOTAL COUNT","1","","","","","","","","","","","","","",""
"","TOTAL COUNT DUE TO MERCHANT","70,007.77 ","","","","","","","","","","","","","",""
"","TOTAL MDR","1,400.46 ","","","","","","","","","","","","","",""
"","TOTAL CONVENIENCE FEE","15.00 ","","","","","","","","","","","","","",""
"","TOTAL TAX","0.00 ","","","","","","","","","","","","","",""
"","TOTAL GAI-JV0001 PROFIT","10.50 ","","","","","","","","","","","","","",""
"","TOTAL DCI-JV0001 PROFIT","4.50 ","","","","","","","","","","","","","",""
"","TOTAL 3RD PARTY FEE","1,400.46 ","","","","","","","","","","","","","",""
